vote_id,contents,due_date,team_id,writer,match_info_id,vote_status,vote_reg_date
1@gmail.com,1234,lee1,1011111111,2020-08-27 0:00,2020-08-27 0:00,L,FW
2@gmail.com,1234,lee2,1011111112,2020-08-27 0:00,2020-08-27 0:00,R,DF
3@gmail.com,1234,lee3,1011111113,2020-08-27 0:00,2020-08-27 0:00,R,RB
4@gmail.com,1234,lee4,1011111114,2020-08-27 0:00,2020-08-27 0:00,L,SS
5@gmail.com,1234,lee5,1011111115,2020-08-27 0:00,2020-08-27 0:00,R,DF
6@gmail.com,1234,lee6,1011111116,2020-08-27 0:00,2020-08-27 0:00,L,FW
7@gmail.com,1234,lee7,1011111117,2020-08-27 0:00,2020-08-27 0:00,R,LB
8@gmail.com,1234,lee8,1011111118,2020-08-27 0:00,2020-08-27 0:00,R,BB
9@gmail.com,1234,lee9,1011111119,2020-08-27 0:00,2020-08-27 0:00,L,FW
10@gmail.com,1234,lee10,1011111120,2020-08-27 0:00,2020-08-27 0:00,R,DF
11@gmail.com,1234,lee11,1011111121,2020-08-27 0:00,2020-08-27 0:00,L,MF
12@gmail.com,1234,lee12,1011111122,2020-08-27 0:00,2020-08-27 0:00,R,MF
13@gmail.com,1234,lee13,1011111123,2020-08-27 0:00,2020-08-27 0:00,R,FW
14@gmail.com,1234,lee14,1011111124,2020-08-27 0:00,2020-08-27 0:00,L,DF
15@gmail.com,1234,lee15,1011111125,2020-08-27 0:00,2020-08-27 0:00,R,RB
16@gmail.com,1234,lee16,1011111126,2020-08-27 0:00,2020-08-27 0:00,L,SS
17@gmail.com,1234,lee17,1011111127,2020-08-27 0:00,2020-08-27 0:00,R,DF
18@gmail.com,1234,lee18,1011111128,2020-08-27 0:00,2020-08-27 0:00,R,FW
19@gmail.com,1234,lee19,1011111129,2020-08-27 0:00,2020-08-27 0:00,L,LB
20@gmail.com,1234,lee20,1011111130,2020-08-27 0:00,2020-08-27 0:00,R,BB
21@gmail.com,1234,lee21,1011111131,2020-08-27 0:00,2020-08-27 0:00,L,FW
22@gmail.com,1234,lee22,1011111132,2020-08-27 0:00,2020-08-27 0:00,R,DF
23@gmail.com,1234,lee23,1011111133,2020-08-27 0:00,2020-08-27 0:00,R,MF
24@gmail.com,1234,lee24,1011111134,2020-08-27 0:00,2020-08-27 0:00,L,MF
25@gmail.com,1234,lee25,1011111135,2020-08-27 0:00,2020-08-27 0:00,R,FW
26@gmail.com,1234,lee26,1011111136,2020-08-27 0:00,2020-08-27 0:00,L,DF
27@gmail.com,1234,lee27,1011111137,2020-08-27 0:00,2020-08-27 0:00,R,RB
28@gmail.com,1234,lee28,1011111138,2020-08-27 0:00,2020-08-27 0:00,R,SS
29@gmail.com,1234,lee29,1011111139,2020-08-27 0:00,2020-08-27 0:00,L,DF
30@gmail.com,1234,lee30,1011111140,2020-08-27 0:00,2020-08-27 0:00,R,FW
31@gmail.com,1234,lee31,1011111141,2020-08-27 0:00,2020-08-27 0:00,L,LB
32@gmail.com,1234,lee32,1011111142,2020-08-27 0:00,2020-08-27 0:00,R,BB
33@gmail.com,1234,lee33,1011111143,2020-08-27 0:00,2020-08-27 0:00,R,FW
34@gmail.com,1234,lee34,1011111144,2020-08-27 0:00,2020-08-27 0:00,L,DF
35@gmail.com,1234,lee35,1011111145,2020-08-27 0:00,2020-08-27 0:00,R,MF
36@gmail.com,1234,lee36,1011111146,2020-08-27 0:00,2020-08-27 0:00,L,MF
37@gmail.com,1234,lee37,1011111147,2020-08-27 0:00,2020-08-27 0:00,R,FW
38@gmail.com,1234,lee38,1011111148,2020-08-27 0:00,2020-08-27 0:00,R,DF
39@gmail.com,1234,lee39,1011111149,2020-08-27 0:00,2020-08-27 0:00,L,RB
40@gmail.com,1234,lee40,1011111150,2020-08-27 0:00,2020-08-27 0:00,R,SS
41@gmail.com,1234,lee41,1011111151,2020-08-27 0:00,2020-08-27 0:00,L,DF
42@gmail.com,1234,lee42,1011111152,2020-08-27 0:00,2020-08-27 0:00,R,FW
43@gmail.com,1234,lee43,1011111153,2020-08-27 0:00,2020-08-27 0:00,R,LB
44@gmail.com,1234,lee44,1011111154,2020-08-27 0:00,2020-08-27 0:00,L,BB
45@gmail.com,1234,lee45,1011111155,2020-08-27 0:00,2020-08-27 0:00,R,FW
46@gmail.com,1234,lee46,1011111156,2020-08-27 0:00,2020-08-27 0:00,L,DF
47@gmail.com,1234,lee47,1011111157,2020-08-27 0:00,2020-08-27 0:00,R,MF
48@gmail.com,1234,lee48,1011111158,2020-08-27 0:00,2020-08-27 0:00,R,MF
49@gmail.com,1234,lee49,1011111159,2020-08-27 0:00,2020-08-27 0:00,L,FW
50@gmail.com,1234,lee50,1011111160,2020-08-27 0:00,2020-08-27 0:00,R,DF
51@gmail.com,1234,lee51,1011111161,2020-08-27 0:00,2020-08-27 0:00,L,RB
52@gmail.com,1234,lee52,1011111162,2020-08-27 0:00,2020-08-27 0:00,R,SS
53@gmail.com,1234,lee53,1011111163,2020-08-27 0:00,2020-08-27 0:00,R,DF
54@gmail.com,1234,lee54,1011111164,2020-08-27 0:00,2020-08-27 0:00,L,FW
55@gmail.com,1234,lee55,1011111165,2020-08-27 0:00,2020-08-27 0:00,R,LB
56@gmail.com,1234,lee56,1011111166,2020-08-27 0:00,2020-08-27 0:00,L,BB
